$no_mbtree,$no_asm,$no_cabac,$no_scenecut,$aq_strength,$bframes,$qcomp,$qp,$ref,$rc_lookahead,$b_bias,$threads,$keyint,$crf,$scenecut,$seek,$ipratio, <$SSIM, <$Time
0,1,0,0,0,3,0.6,23,3,40,-100,4,250,23,40,0,1.4,0.9882458,52
0,1,0,0,2,3,0.6,23,3,40,-100,4,250,23,40,0,1.4,0.9882458,51.93333333
0,1,0,0,0,3,0.6,23,9,40,0,4,250,23,40,0,1.4,0.9891133,75.73333333
0,1,0,0,2,3,0.6,23,9,40,0,4,250,23,40,0,1.4,0.9891133,75.73333333
0,1,0,0,1,25,0.6,23,3,250,0,4,250,23,40,0,1.4,0.9891148,51.53333333
0,1,0,0,1,25,0.6,23,3,1,0,4,250,23,40,0,1.4,0.9887967,38.53333333
0,1,0,0,1,3,0.6,23,3,250,0,4,250,23,1,0,1.4,0.988933,54.53333333
0,1,0,0,1,3,0.6,23,3,1,0,4,250,23,1,0,1.4,0.985399,39.13333333
0,1,0,0,1,3,0.6,23,3,250,0,4,250,23,100,0,1.4,0.9890809,54.73333333
0,1,0,0,1,3,0.6,23,3,1,0,4,250,23,100,0,1.4,0.9857539,39.66666667
0,1,0,0,1,3,0.6,23,3,250,0,4,1,23,40,0,1.4,0.9863483,14.53333333
0,1,0,0,1,3,0.6,23,3,1,0,4,1,23,40,0,1.4,0.9863483,14.66666667
0,1,0,0,1,3,0.6,23,3,250,0,4,1000,23,40,0,1.4,0.9890819,46.13333333
0,1,0,0,1,3,0.6,23,3,1,0,4,1000,23,40,0,1.4,0.9855952,38.4
0,1,0,0,1,3,0.6,23,3,250,0,4,250,23,40,0,1.4,0.9890921,66.66666667
0,1,0,0,1,3,0.6,23,3,1,0,4,250,23,40,0,1.4,0.9856161,38.13333333
0,1,0,0,0,3,1,23,3,40,0,4,250,23,40,0,1.4,0.9905807,53.4
0,1,0,0,0,3,0,23,3,40,0,4,250,23,40,0,1.4,0.9842677,44.4
0,1,0,0,2,3,0,23,3,40,0,4,250,23,40,0,1.4,0.9842677,44.4
0,1,0,0,2,3,1,23,3,40,0,4,250,23,40,0,1.4,0.9905807,53.33333333
0,1,0,0,1,3,0,23,3,40,0,4,250,23,40,0,0,0.97495986,45.53333333
0,1,0,0,1,3,1,23,3,40,0,4,250,23,40,0,0,0.9864204,54.13333333
0,1,0,0,1,3,0,23,3,40,0,4,250,23,40,0,2,0.9844075,44.46666667
0,1,0,0,1,3,1,23,3,40,0,4,250,23,40,0,2,0.9907249,53.4
0,1,0,0,1,3,0,0,3,40,0,4,250,23,40,0,1.4,0.9842677,44.5
0,1,0,0,1,3,1,0,3,40,0,4,250,23,40,0,1.4,0.9905807,53.41666667
0,1,0,0,1,3,0,51,3,40,0,4,250,23,40,0,1.4,0.9842677,44.41666667
0,1,0,0,1,3,1,51,3,40,0,4,250,23,40,0,1.4,0.9905807,53.5
0,1,0,0,1,3,0,23,0,40,0,4,250,23,40,0,1.4,0.9842021,34.06666667
0,1,0,0,1,3,1,23,0,40,0,4,250,23,40,0,1.4,0.990564,38.06666667
0,1,0,0,1,3,0,23,9,40,0,4,250,23,40,0,1.4,0.9842963,63.73333333
0,1,0,0,1,3,1,23,9,40,0,4,250,23,40,0,1.4,0.9905981,81.13333333
0,1,0,0,1,3,0,23,3,40,-100,4,250,23,40,0,1.4,0.9825074,44.53333333
0,1,0,0,1,3,1,23,3,40,-100,4,250,23,40,0,1.4,0.990599,54.93333333
0,1,0,0,1,3,0.6,23,3,1,0,4,250,23,40,0,0,0.9781531,38.86666667
0,1,0,0,1,3,0.6,23,3,250,0,4,250,23,40,0,0,0.9818465,53.8
0,1,0,0,2,3,0.6,23,3,1,0,4,250,23,40,0,1.4,0.9856161,38.26666667
0,1,0,0,2,3,0.6,23,3,250,0,4,250,23,40,0,1.4,0.9890921,53.26666667
0,1,0,0,0,3,0.6,23,3,1,0,4,250,23,40,0,1.4,0.9856161,38.26666667
0,1,0,0,0,3,0.6,23,3,250,0,4,250,23,40,0,1.4,0.9890921,53.2
0,1,0,0,1,3,1,23,3,1,0,4,250,23,40,0,1.4,0.9905807,42.73333333
0,1,0,0,1,3,1,23,3,250,0,4,250,23,40,0,1.4,0.9905807,42.73333333
0,1,0,0,1,3,0,23,3,1,0,4,250,23,40,0,1.4,0.9731319,30.46666667
0,1,0,0,1,3,0,23,3,250,0,4,250,23,40,0,1.4,0.984257,48.06666667
0,1,0,0,1,1,0.6,23,3,250,0,4,250,23,40,0,1.4,0.9888203,52.13333333
0,1,0,0,1,1,0.6,23,3,1,0,4,250,23,40,0,1.4,0.9846681,36.86666667
0,1,0,0,1,3,0.6,23,3,250,100,4,250,23,40,0,1.4,0.9890876,54.6
0,1,0,0,1,3,0.6,23,3,1,100,4,250,23,40,0,1.4,0.9853861,38.46666667
0,1,0,0,1,3,0.6,23,3,250,-100,4,250,23,40,0,1.4,0.9882606,53.06666667
0,1,0,0,1,3,0.6,23,3,1,-100,4,250,23,40,0,1.4,0.9871932,40
0,1,0,0,1,3,0.6,23,9,250,0,4,250,23,40,0,1.4,0.9891008,71.86666667
0,1,0,0,1,3,0.6,23,9,1,0,4,250,23,40,0,1.4,0.985629,57.46666667
0,1,0,0,1,3,0.6,23,0,250,0,4,250,23,40,0,1.4,0.9890465,42.66666667
0,1,0,0,1,3,0.6,23,0,1,0,4,250,23,40,0,1.4,0.9855147,27.66666667
0,1,0,0,1,3,0.6,51,3,250,0,4,250,23,40,0,1.4,0.9890921,66.66666667
0,1,0,0,1,3,0.6,51,3,1,0,4,250,23,40,0,1.4,0.9856161,47.75
0,1,0,0,1,3,0.6,0,3,250,0,4,250,23,40,0,1.4,0.9890921,66.58333333
0,1,0,0,1,3,0.6,0,3,1,0,4,250,23,40,0,1.4,0.9856161,47.83333333
0,1,0,0,1,3,0.6,23,3,250,0,4,250,23,40,0,2,0.9892474,53.06666667
0,1,0,0,1,3,0.6,23,3,1,0,4,250,23,40,0,2,0.9857898,38.26666667
0,1,0,0,2,25,0.6,23,3,40,0,4,250,23,40,0,1.4,0.9891065,49.73333333
0,1,0,0,0,25,0.6,23,3,40,0,4,250,23,40,0,1.4,0.9891065,49.86666667
0,1,0,0,2,3,0.6,23,3,40,0,4,250,23,1,0,1.4,0.9889149,53.33333333
0,1,0,0,0,3,0.6,23,3,40,0,4,250,23,1,0,1.4,0.9889149,53.46666667
0,1,0,0,2,3,0.6,23,3,40,100,4,250,23,40,0,1.4,0.9890734,52.93333333
0,1,0,0,0,3,0.6,23,3,40,100,4,250,23,40,0,1.4,0.9890734,52.93333333
0,1,0,0,2,1,0.6,23,3,40,0,4,250,23,40,0,1.4,0.9888147,50.46666667
0,1,0,0,0,1,0.6,23,3,40,0,4,250,23,40,0,1.4,0.9888147,50.46666667
0,1,0,0,2,3,0.6,23,3,40,0,4,250,23,100,0,1.4,0.9891101,53.66666667
0,1,0,0,0,3,0.6,23,3,40,0,4,250,23,100,0,1.4,0.9891101,54
0,1,0,0,0,3,0.6,23,3,40,0,4,1,23,40,0,1.4,0.9863483,18.33333333
0,1,0,0,2,3,0.6,23,3,40,0,4,1,23,40,0,1.4,0.9863483,18.47222222
0,1,0,0,1,3,0.6,23,3,40,100,4,250,23,1,0,1.4,0.9889132,54.66666667
0,1,0,0,1,3,0.6,23,3,40,-100,4,250,23,1,0,1.4,0.9880638,53.86666667
0,1,0,0,1,25,0.6,23,3,40,100,4,250,23,40,0,1.4,0.9888456,50.26666667
0,1,0,0,1,25,0.6,23,3,40,-100,4,250,23,40,0,1.4,0.9882458,51.53333333
0,1,0,0,1,1,0.6,23,3,40,100,4,250,23,40,0,1.4,0.988802,51
0,1,0,0,1,1,0.6,23,3,40,-100,4,250,23,40,0,1.4,0.9882458,52.26666667
0,1,0,0,1,3,0.6,23,9,40,0,4,250,23,40,0,1.4,0.9891133,75.66666667
0,1,0,0,1,3,0.6,23,0,40,0,4,250,23,40,0,1.4,0.9890516,38.13333333
0,1,0,0,1,3,0.6,23,9,40,0,4,1000,23,40,0,1.4,0.9890918,76
0,1,0,0,1,3,0.6,23,0,40,0,4,1000,23,40,0,1.4,0.9890391,38
0,1,0,0,1,3,0.6,23,9,40,0,4,1,23,40,0,1.4,0.9863483,18.2
0,1,0,0,1,3,0.6,23,0,40,0,4,1,23,40,0,1.4,0.9863483,18.26666667
0,1,0,0,1,3,0.6,23,9,40,0,4,250,23,100,0,1.4,0.9891084,79.06666667
0,1,0,0,1,3,0.6,23,0,40,0,4,250,23,100,0,1.4,0.9890492,40.26666667
0,1,0,0,1,3,0.6,23,0,40,0,4,250,23,1,0,1.4,0.9888744,39.33333333
0,1,0,0,1,3,0.6,23,9,40,0,4,250,23,1,0,1.4,0.9889669,80.06666667
0,1,0,0,1,25,0.6,23,0,40,0,4,250,23,40,0,1.4,0.9890789,36.8
0,1,0,0,1,25,0.6,23,9,40,0,4,250,23,40,0,1.4,0.9891465,73.6
0,1,0,0,1,1,0.6,23,0,40,0,4,250,23,40,0,1.4,0.9887811,37.33333333
0,1,0,0,1,1,0.6,23,9,40,0,4,250,23,40,0,1.4,0.9888802,75.53333333
0,1,0,0,1,3,0.6,23,0,40,100,4,250,23,40,0,1.4,0.989032,39.53333333
0,1,0,0,1,3,0.6,23,9,40,100,4,250,23,40,0,1.4,0.9891127,77.06666667
0,1,0,0,1,3,0.6,23,0,40,-100,4,250,23,40,0,1.4,0.988181,38.2
0,1,0,0,1,3,0.6,23,9,40,-100,4,250,23,40,0,1.4,0.988301,76.46666667
0,1,0,0,1,3,0.6,0,3,40,0,4,250,23,40,0,1.4,0.9890787,51.5
0,1,0,0,1,3,0.6,51,3,40,0,4,250,23,40,0,1.4,0.9890787,51.41666667
0,1,0,0,1,3,0.6,0,3,40,0,4,1000,23,40,0,1.4,0.9890628,51.33333333
0,1,0,0,1,3,0.6,51,3,40,0,4,1000,23,40,0,1.4,0.9890628,51.41666667
0,1,0,0,1,1,0.6,23,3,40,0,4,250,23,100,0,1.4,0.988808,52.33333333
0,1,0,0,1,25,0.6,23,3,40,0,4,250,23,100,0,1.4,0.9891402,51.86666667
0,1,0,0,1,1,0.6,23,3,40,0,4,1,23,40,0,1.4,0.9863483,18.26666667
0,1,0,0,1,25,0.6,23,3,40,0,4,1,23,40,0,1.4,0.9863483,18.2
0,1,0,0,1,1,0.6,23,3,40,0,4,250,23,1,0,1.4,0.988676,52.33333333
0,1,0,0,1,25,0.6,23,3,40,0,4,250,23,1,0,1.4,0.9889382,51.53333333
0,1,0,0,1,3,0.6,23,3,40,-100,4,1000,23,40,0,1.4,0.9882216,51.93333333
0,1,0,0,1,3,0.6,23,3,40,100,4,1000,23,40,0,1.4,0.9890652,52.86666667
0,1,0,0,1,3,0.6,23,3,40,-100,4,250,23,40,0,1.4,0.9882458,52.06666667
0,1,0,0,1,3,0.6,23,3,40,100,4,250,23,40,0,1.4,0.9890734,52.93333333
0,1,0,0,1,3,0.6,23,3,40,-100,4,250,23,100,0,1.4,0.9882134,52.86666667
0,1,0,0,1,3,0.6,23,3,40,100,4,250,23,100,0,1.4,0.9890971,55.13333333
0,1,0,0,1,3,0.6,23,3,40,-100,4,1,23,40,0,1.4,0.9863483,18.33333333
0,1,0,0,1,3,0.6,23,3,40,100,4,1,23,40,0,1.4,0.9863483,18.26666667
0,1,0,0,1,3,0.6,23,3,40,0,4,1,23,40,0,2,0.9863483,18.26666667
0,1,0,0,1,3,0.6,23,3,40,0,4,1,23,40,0,0,0.9860629,18.33333333
0,1,0,0,1,3,0.6,23,3,40,0,4,250,23,100,0,2,0.9892385,53.93333333
0,1,0,0,1,3,0.6,23,3,40,0,4,250,23,100,0,0,0.9836923,54.13333333
0,1,0,0,1,3,0.6,23,3,40,0,4,250,23,1,0,2,0.9889377,53.46666667
0,1,0,0,1,3,0.6,23,3,40,0,4,250,23,1,0,0,0.9871832,53.53333333
0,1,0,0,1,25,0.6,23,3,40,0,4,250,23,40,0,2,0.9892659,49.73333333
0,1,0,0,1,25,0.6,23,3,40,0,4,250,23,40,0,0,0.9813895,50.66666667
0,1,0,0,1,3,0.6,51,0,40,0,4,250,23,40,0,1.4,0.9890516,38.16666667
0,1,0,0,1,3,0.6,0,0,40,0,4,250,23,40,0,1.4,0.9890516,38.08333333
0,1,0,0,1,3,0.6,23,3,40,0,4,250,23,40,0,2,0.989251,51.4
0,1,0,0,1,3,0.6,23,3,40,0,4,250,23,40,0,0,0.9818518,52.2
0,1,0,0,1,3,0.6,23,3,40,0,4,1000,23,40,0,2,0.9892272,51.26666667
0,1,0,0,1,3,0.6,23,3,40,0,4,1000,23,40,0,0,0.9826763,52.26666667
0,1,0,0,1,1,0.6,0,3,40,0,4,250,23,40,0,1.4,0.9888147,50.58333333
0,1,0,0,1,1,0.6,51,3,40,0,4,250,23,40,0,1.4,0.9888147,50.66666667
0,1,0,0,1,3,0.6,0,3,40,100,4,250,23,40,0,1.4,0.9890734,53
0,1,0,0,1,3,0.6,51,3,40,100,4,250,23,40,0,1.4,0.9890734,53
0,1,0,0,1,3,0.6,0,3,40,-100,4,250,23,40,0,1.4,0.9882458,52
0,1,0,0,1,3,0.6,51,3,40,-100,4,250,23,40,0,1.4,0.9882458,52
0,1,0,0,1,3,0.6,0,9,40,0,4,250,23,40,0,1.4,0.9891133,75.58333333
0,1,0,0,1,3,0.6,51,9,40,0,4,250,23,40,0,1.4,0.9891133,75.75
0,1,0,0,1,3,0.6,0,3,40,0,4,1,23,40,0,1.4,0.9863483,18.25
0,1,0,0,1,3,0.6,51,3,40,0,4,1,23,40,0,1.4,0.9863483,18.25
0,1,0,0,1,3,0.6,0,3,40,0,4,250,23,100,0,1.4,0.9891101,53.91666667
0,1,0,0,1,3,0.6,51,3,40,0,4,250,23,100,0,1.4,0.9891101,53.83333333
0,1,0,0,1,3,0.6,0,3,40,0,4,250,23,1,0,1.4,0.9889149,53.5
0,1,0,0,1,3,0.6,51,3,40,0,4,250,23,1,0,1.4,0.9889149,53.33333333
0,1,0,0,1,25,0.6,0,3,40,0,4,250,23,40,0,1.4,0.9891065,49.66666667
0,1,0,0,1,25,0.6,51,3,40,0,4,250,23,40,0,1.4,0.9891065,49.75
0,1,0,0,2,3,0.6,23,3,40,0,4,1000,23,40,0,1.4,0.9890628,51.4
0,1,0,0,0,3,0.6,23,3,40,0,4,1000,23,40,0,1.4,0.9890628,51.6
0,1,0,0,2,3,0.6,23,3,40,0,4,250,23,40,0,1.4,0.9890787,51.46666667
0,1,0,0,0,3,0.6,23,3,40,0,4,250,23,40,0,1.4,0.9890787,51.4
0,1,0,0,1,3,0.6,51,3,40,0,4,250,23,40,0,0,0.9818518,52.41666667
0,1,0,0,1,3,0.6,51,3,40,0,4,250,23,40,0,2,0.989251,51.41666667
0,1,0,0,1,3,0.6,23,0,40,0,4,250,23,40,0,0,0.9818139,38.46666667
0,1,0,0,1,3,0.6,23,0,40,0,4,250,23,40,0,2,0.9891908,38.13333333
0,1,0,0,1,3,0.6,0,3,40,0,4,250,23,40,0,0,0.9818518,52.16666667
0,1,0,0,1,3,0.6,0,3,40,0,4,250,23,40,0,2,0.989251,51.33333333
0,1,0,0,1,3,0.6,23,3,40,100,4,250,23,40,0,0,0.9818264,53.6
0,1,0,0,1,3,0.6,23,3,40,100,4,250,23,40,0,2,0.98923078,52.86666667
0,1,0,0,1,1,0.6,23,3,40,0,4,250,23,40,0,0,0.9815963,51.26666667
0,1,0,0,1,1,0.6,23,3,40,0,4,250,23,40,0,2,0.9889727,50.4
0,1,0,0,1,3,0.6,23,9,40,0,4,250,23,40,0,0,0.9818624,77.2
0,1,0,0,1,3,0.6,23,9,40,0,4,250,23,40,0,2,0.9892839,75.73333333
0,1,0,0,1,3,0.6,23,3,40,-100,4,250,23,40,0,0,0.9810326,52.73333333
0,1,0,0,1,3,0.6,23,3,40,-100,4,250,23,40,0,2,0.9883945,51.93333333
0,0,0,1,0,3,0.6,23,3,40,0,4,250,23,40,0,2,0.9892529,14.33333333
0,0,0,1,2,3,0.6,23,3,40,0,4,250,23,40,0,2,0.9892529,14.2
0,0,0,1,0,3,0.6,23,3,40,0,4,250,23,40,0,0,0.9818593,14.46666667
0,0,0,1,2,3,0.6,23,3,40,0,4,250,23,40,0,0,0.9818593,14.53333333
0,0,0,1,1,3,1,23,3,40,0,4,250,23,100,0,1.4,0.9906057,15.13333333
0,0,0,1,1,3,0,23,3,40,0,4,250,23,100,0,1.4,0.9844151,13.33333333
0,0,0,1,1,3,1,23,3,40,0,4,250,23,1,0,1.4,0.9904885,15.06666667
0,0,0,1,1,3,0,23,3,40,0,4,250,23,1,0,1.4,0.9838677,13
0,0,0,1,1,25,1,23,3,40,0,4,250,23,40,0,1.4,0.9905744,14.66666667
0,0,0,1,1,25,0,23,3,40,0,4,250,23,40,0,1.4,0.9842122,11.93333333
0,0,0,1,1,1,1,23,3,40,0,4,250,23,40,0,1.4,0.9905827,14.53333333
0,0,0,1,1,1,0,23,3,40,0,4,250,23,40,0,1.4,0.9838054,12.2
0,0,0,1,1,3,1,23,3,40,0,4,250,23,40,0,1.4,0.9905815,14.86666667
0,0,0,1,1,3,0,23,3,40,0,4,250,23,40,0,1.4,0.9842936,12.46666667
0,0,0,1,1,3,1,23,3,40,0,4,1000,23,40,0,1.4,0.9905787,14.73333333
0,0,0,1,1,3,0,23,3,40,0,4,1000,23,40,0,1.4,0.9842598,12.6
0,0,0,1,1,3,1,23,3,40,0,4,1,23,40,0,1.4,0.991261,7.2
0,0,0,1,1,3,0,23,3,40,0,4,1,23,40,0,1.4,0.9727967,6.2
0,1,0,0,1,3,0.6,23,3,40,0,4,1000,23,40,0,1.4,0.9890628,41.2
0,1,0,0,1,3,0.6,23,3,40,0,4,1,23,40,0,1.4,0.9863483,14.53333333
0,1,0,0,1,3,0.6,23,3,40,0,4,1000,23,100,0,1.4,0.9891045,51.2
0,1,0,0,1,3,0.6,23,3,40,0,4,1000,23,1,0,1.4,0.9889066,52.66666667
0,1,0,0,1,3,0.6,23,3,40,0,4,250,23,100,0,1.4,0.9891101,54
0,1,0,0,1,3,0.6,23,3,40,0,4,250,23,1,0,1.4,0.9889149,53.33333333
0,1,0,0,1,3,0.6,23,3,40,0,4,1,23,100,0,1.4,0.9863483,18.2
0,1,0,0,1,3,0.6,23,3,40,0,4,1,23,1,0,1.4,0.9863483,18.26666667
0,1,0,0,1,25,0.6,23,3,40,0,4,1000,23,40,0,1.4,0.9890896,49.86666667
0,1,0,0,1,1,0.6,23,3,40,0,4,1000,23,40,0,1.4,0.9888058,50.46666667
0,1,0,0,1,25,0.6,23,3,40,0,4,250,23,40,0,1.4,0.9891065,49.93333333
0,1,0,0,1,1,0.6,23,3,40,0,4,250,23,40,0,1.4,0.9888147,50.53333333
0,0,0,1,1,3,0.6,23,3,250,100,4,250,23,40,0,1.4,0.9890866,19
0,0,0,1,1,3,0.6,23,3,1,100,4,250,23,40,0,1.4,0.9853879,13.26666667
0,0,0,1,1,3,0.6,23,3,250,-100,4,250,23,40,0,1.4,0.9882532,18.73333333
0,0,0,1,1,3,0.6,23,3,1,-100,4,250,23,40,0,1.4,0.987204,13.86666667
0,0,0,1,1,25,0.6,23,3,250,0,4,250,23,40,0,1.4,0.9891343,17.86666667
0,0,0,1,1,25,0.6,23,3,1,0,4,250,23,40,0,1.4,0.9888015,13.6
0,0,0,1,1,1,0.6,23,3,250,0,4,250,23,40,0,1.4,0.9888122,18.06666667
0,0,0,1,1,1,0.6,23,3,1,0,4,250,23,40,0,1.4,0.9846777,12.66666667
0,0,0,1,1,3,0.6,51,3,250,0,4,250,23,40,0,1.4,0.9890845,18.5
0,0,0,1,1,3,0.6,51,3,1,0,4,250,23,40,0,1.4,0.9856259,13.25
0,0,0,1,1,3,0.6,0,3,250,0,4,250,23,40,0,1.4,0.9890845,18.41666667
0,0,0,1,1,3,0.6,0,3,1,0,4,250,23,40,0,1.4,0.9856259,13.33333333
0,0,0,1,1,3,0.6,23,9,250,0,4,250,23,40,0,1.4,0.9891112,27.73333333
0,0,0,1,1,3,0.6,23,9,1,0,4,250,23,40,0,1.4,0.9856507,22.73333333
0,0,0,1,1,3,0.6,23,0,250,0,4,250,23,40,0,1.4,0.9890456,15.26666667
0,0,0,1,1,3,0.6,23,0,1,0,4,250,23,40,0,1.4,0.9855384,9.866666667
0,0,0,1,2,3,0.6,23,3,1,0,4,250,23,40,0,1.4,0.9856259,13.2
0,0,0,1,2,3,0.6,23,3,250,0,4,250,23,40,0,1.4,0.9890845,18.46666667
0,0,0,1,0,3,0.6,23,3,1,0,4,250,23,40,0,1.4,0.9856259,13.13333333
0,0,0,1,0,3,0.6,23,3,250,0,4,250,23,40,0,1.4,0.9890845,18.66666667
0,0,0,1,1,3,0.6,23,3,1,0,4,250,23,40,0,2,0.9857979,13.26666667
0,0,0,1,1,3,0.6,23,3,250,0,4,250,23,40,0,2,0.9892531,18.6
0,0,0,1,1,3,0.6,23,3,1,0,4,250,23,40,0,0,0.9781812,13.53333333
0,0,0,1,1,3,0.6,23,3,250,0,4,250,23,40,0,0,0.9818561,18.73333333
0,1,0,0,1,3,0.6,23,3,40,0,4,250,23,40,0,1.4,0.9890787,41.2
0,0,0,1,1,3,1,23,3,1,0,4,250,23,40,0,1.4,0.9905815,14.73333333
0,0,0,1,1,3,1,23,3,250,0,4,250,23,40,0,1.4,0.9905815,14.86666667
0,0,0,1,1,3,0,23,3,1,0,4,250,23,40,0,1.4,0.9730402,10.6
0,0,0,1,1,3,0,23,3,250,0,4,250,23,40,0,1.4,0.9842663,17
0,0,0,1,1,3,1,23,0,40,0,4,250,23,40,0,1.4,0.9905629,10.8
0,0,0,1,1,3,0,23,0,40,0,4,250,23,40,0,1.4,0.9841922,9.8
0,0,0,1,1,3,1,23,9,40,0,4,250,23,40,0,1.4,0.9905984,25.66666667
0,0,0,1,1,3,0,23,9,40,0,4,250,23,40,0,1.4,0.984327,20.2
0,0,0,1,1,3,1,23,3,40,-100,4,250,23,40,0,1.4,0.9906142,15.33333333
0,0,0,1,1,3,0,23,3,40,-100,4,250,23,40,0,1.4,0.9825428,12.4
0,0,0,1,1,3,1,23,3,40,100,4,250,23,40,0,1.4,0.9905646,15
0,0,0,1,1,3,0,23,3,40,100,4,250,23,40,0,1.4,0.9842193,12.93333333
0,0,0,1,1,3,1,23,3,40,0,4,250,23,40,0,0,0.9864125,14.93333333
0,0,0,1,1,3,0,23,3,40,0,4,250,23,40,0,0,0.9749718,12.93333333
0,0,0,1,1,3,1,23,3,40,0,4,250,23,40,0,2,0.990734,14.73333333
0,0,0,1,1,3,0,23,3,40,0,4,250,23,40,0,2,0.984404,12.46666667
0,0,0,1,1,3,1,0,3,40,0,4,250,23,40,0,1.4,0.9905815,14.75
0,0,0,1,1,3,0,0,3,40,0,4,250,23,40,0,1.4,0.9842936,12.58333333
0,0,0,1,1,3,1,51,3,40,0,4,250,23,40,0,1.4,0.9905815,14.83333333
0,0,0,1,1,3,0,51,3,40,0,4,250,23,40,0,1.4,0.9842936,12.58333333
0,0,0,1,1,3,0.6,23,3,1,0,4,250,23,40,0,1.4,0.9856259,13.33333333
0,0,0,1,1,3,0.6,23,3,250,0,4,250,23,40,0,1.4,0.9890845,18.6
0,0,0,1,0,3,0,23,3,40,0,4,250,23,40,0,1.4,0.9842936,12.33333333
0,0,0,1,0,3,1,23,3,40,0,4,250,23,40,0,1.4,0.9905815,14.93333333
0,0,0,1,2,3,0,23,3,40,0,4,250,23,40,0,1.4,0.9842936,12.46666667
0,0,0,1,2,3,1,23,3,40,0,4,250,23,40,0,1.4,0.9905815,14.73333333
0,0,0,1,1,3,0.6,23,3,1,0,4,250,23,1,0,1.4,0.9854203,13.53333333
0,0,0,1,1,3,0.6,23,3,250,0,4,250,23,1,0,1.4,0.9889293,18.66666667
0,0,0,1,1,3,0.6,23,3,1,0,4,250,23,100,0,1.4,0.9857686,13.66666667
0,0,0,1,1,3,0.6,23,3,250,0,4,250,23,100,0,1.4,0.9890901,19.13333333
0,0,0,1,1,3,0.6,23,3,1,0,4,1,23,40,0,1.4,0.9863496,6.733333333
0,0,0,1,1,3,0.6,23,3,250,0,4,1,23,40,0,1.4,0.9863496,6.8
0,0,0,1,1,3,0.6,23,3,1,0,4,1000,23,40,0,1.4,0.9856201,13.26666667
0,0,0,1,1,3,0.6,23,3,250,0,4,1000,23,40,0,1.4,0.9890831,16.73333333
0,0,0,1,0,3,0.6,51,3,40,0,4,250,23,40,0,1.4,0.9890958,14.33333333
0,0,0,1,2,3,0.6,51,3,40,0,4,250,23,40,0,1.4,0.9890958,14.33333333
0,0,0,1,0,3,0.6,0,3,40,0,4,250,23,40,0,1.4,0.9890958,14.33333333
