$no_mbtree,$no_asm,$no_cabac,$no_scenecut,$aq_strength,$bframes,$qcomp,$qp,$ref,$rc_lookahead,$b_bias,$threads,$keyint,$crf,$scenecut,$seek,$ipratio, <$Time, <$Watt
0,1,0,0,2,1,0.6,23,3,40,0,4,250,23,40,0,1.4,50.46666667,152.0069023
0,1,0,0,0,1,0.6,23,3,40,0,4,250,23,40,0,1.4,50.46666667,151.9708594
0,1,0,0,2,3,0.6,23,3,40,0,4,250,23,100,0,1.4,53.66666667,150.8453086
0,1,0,0,0,3,0.6,23,3,40,0,4,250,23,100,0,1.4,54,150.7169946
0,1,0,0,0,3,0.6,23,3,40,0,4,1,23,40,0,1.4,18.33333333,153.48
0,1,0,0,2,3,0.6,23,3,40,0,4,1,23,40,0,1.4,18.47222222,152.3175419
0,1,0,0,1,3,0.6,23,3,40,100,4,250,23,1,0,1.4,54.66666667,149.2012121
0,1,0,0,1,3,0.6,23,3,40,-100,4,250,23,1,0,1.4,53.86666667,153.7961562
0,1,0,0,1,25,0.6,23,3,40,100,4,250,23,40,0,1.4,50.26666667,152.7213323
0,1,0,0,1,25,0.6,23,3,40,-100,4,250,23,40,0,1.4,51.53333333,155.2258941
0,1,0,0,1,1,0.6,23,3,40,100,4,250,23,40,0,1.4,51,151.5597403
0,1,0,0,1,1,0.6,23,3,40,-100,4,250,23,40,0,1.4,52.26666667,154.5798444
0,1,0,0,1,3,0.6,23,9,40,0,4,250,23,40,0,1.4,75.66666667,152.1118421
0,1,0,0,1,3,0.6,23,0,40,0,4,250,23,40,0,1.4,38.13333333,151.6256102
0,1,0,0,1,3,0.6,23,9,40,0,4,1000,23,40,0,1.4,76,152.2251528
0,1,0,0,1,3,0.6,23,0,40,0,4,1000,23,40,0,1.4,38,151.8678261
0,1,0,0,1,3,0.6,23,9,40,0,4,1,23,40,0,1.4,18.2,154.4683896
0,1,0,0,1,3,0.6,23,0,40,0,4,1,23,40,0,1.4,18.26666667,154.7765909
0,1,0,0,1,3,0.6,23,9,40,0,4,250,23,100,0,1.4,79.06666667,152.1670378
0,1,0,0,1,3,0.6,23,0,40,0,4,250,23,100,0,1.4,40.26666667,150.5445536
0,1,0,0,1,3,0.6,23,0,40,0,4,250,23,1,0,1.4,39.33333333,150.3396639
0,1,0,0,1,3,0.6,23,9,40,0,4,250,23,1,0,1.4,80.06666667,151.6886328
0,1,0,0,1,25,0.6,23,0,40,0,4,250,23,40,0,1.4,36.8,152.9232207
0,1,0,0,1,25,0.6,23,9,40,0,4,250,23,40,0,1.4,73.6,153.2574492
0,1,0,0,1,1,0.6,23,0,40,0,4,250,23,40,0,1.4,37.33333333,152.6584071
0,1,0,0,1,1,0.6,23,9,40,0,4,250,23,40,0,1.4,75.53333333,153.4116408
0,1,0,0,1,3,0.6,23,0,40,100,4,250,23,40,0,1.4,39.53333333,150.4931653
0,1,0,0,1,3,0.6,23,9,40,100,4,250,23,40,0,1.4,77.06666667,151.0530742
0,1,0,0,1,3,0.6,23,0,40,-100,4,250,23,40,0,1.4,38.2,154.2972279
0,1,0,0,1,3,0.6,23,9,40,-100,4,250,23,40,0,1.4,76.46666667,154.4644235
0,1,0,0,1,3,0.6,0,3,40,0,4,250,23,40,0,1.4,51.5,150.8763069
0,1,0,0,1,3,0.6,51,3,40,0,4,250,23,40,0,1.4,51.41666667,151.0417742
0,1,0,0,1,3,0.6,0,3,40,0,4,1000,23,40,0,1.4,51.33333333,151.2943548
0,1,0,0,1,3,0.6,51,3,40,0,4,1000,23,40,0,1.4,51.41666667,151.2262903
0,1,0,0,1,1,0.6,23,3,40,0,4,250,23,100,0,1.4,52.33333333,152.24
0,1,0,0,1,25,0.6,23,3,40,0,4,250,23,100,0,1.4,51.86666667,152.3032239
0,1,0,0,1,1,0.6,23,3,40,0,4,1,23,40,0,1.4,18.26666667,154.3743247
0,1,0,0,1,25,0.6,23,3,40,0,4,1,23,40,0,1.4,18.2,154.9074091
0,1,0,0,1,1,0.6,23,3,40,0,4,250,23,1,0,1.4,52.33333333,151.1121519
0,1,0,0,1,25,0.6,23,3,40,0,4,250,23,1,0,1.4,51.53333333,151.8155608
0,1,0,0,1,3,0.6,23,3,40,-100,4,1000,23,40,0,1.4,51.93333333,154.8077862
0,1,0,0,1,3,0.6,23,3,40,100,4,1000,23,40,0,1.4,52.86666667,149.7504009
0,1,0,0,1,3,0.6,23,3,40,-100,4,250,23,40,0,1.4,52.06666667,154.6426082
0,1,0,0,1,3,0.6,23,3,40,100,4,250,23,40,0,1.4,52.93333333,149.5974182
0,1,0,0,1,3,0.6,23,3,40,-100,4,250,23,100,0,1.4,52.86666667,154.1561785
0,1,0,0,1,3,0.6,23,3,40,100,4,250,23,100,0,1.4,55.13333333,149.9672744
0,1,0,0,1,3,0.6,23,3,40,-100,4,1,23,40,0,1.4,18.33333333,154.6214286
0,1,0,0,1,3,0.6,23,3,40,100,4,1,23,40,0,1.4,18.26666667,155.2720455
0,1,0,0,1,3,0.6,23,3,40,0,4,1,23,40,0,2,18.26666667,154.9382285
0,1,0,0,1,3,0.6,23,3,40,0,4,1,23,40,0,0,18.33333333,154.5332143
0,1,0,0,1,3,0.6,23,3,40,0,4,250,23,100,0,2,53.93333333,150.7006064
0,1,0,0,1,3,0.6,23,3,40,0,4,250,23,100,0,0,54.13333333,150.6899087
0,1,0,0,1,3,0.6,23,3,40,0,4,250,23,1,0,2,53.46666667,150.3016778
0,1,0,0,1,3,0.6,23,3,40,0,4,250,23,1,0,0,53.53333333,150.0851031
0,1,0,0,1,25,0.6,23,3,40,0,4,250,23,40,0,2,49.73333333,152.5630587
0,1,0,0,1,25,0.6,23,3,40,0,4,250,23,40,0,0,50.66666667,152.0273203
0,1,0,0,1,3,0.6,51,0,40,0,4,250,23,40,0,1.4,38.16666667,151.3298951
0,1,0,0,1,3,0.6,0,0,40,0,4,250,23,40,0,1.4,38.08333333,151.6344434
0,1,0,0,1,3,0.6,23,3,40,0,4,250,23,40,0,2,51.4,150.915182
0,1,0,0,1,3,0.6,23,3,40,0,4,250,23,40,0,0,52.2,150.4116327
0,1,0,0,1,3,0.6,23,3,40,0,4,1000,23,40,0,2,51.26666667,151.0872325
0,1,0,0,1,3,0.6,23,3,40,0,4,1000,23,40,0,0,52.26666667,150.8324742
0,1,0,0,1,1,0.6,0,3,40,0,4,250,23,40,0,1.4,50.58333333,151.9499871
0,1,0,0,1,1,0.6,51,3,40,0,4,250,23,40,0,1.4,50.66666667,151.9650327
0,1,0,0,1,3,0.6,0,3,40,100,4,250,23,40,0,1.4,53,149.85625
0,1,0,0,1,3,0.6,51,3,40,100,4,250,23,40,0,1.4,53,149.5864063
0,1,0,0,1,3,0.6,0,3,40,-100,4,250,23,40,0,1.4,52,154.845181
0,1,0,0,1,3,0.6,51,3,40,-100,4,250,23,40,0,1.4,52,154.9496997
0,1,0,0,1,3,0.6,0,9,40,0,4,250,23,40,0,1.4,75.58333333,152.297907
0,1,0,0,1,3,0.6,51,9,40,0,4,250,23,40,0,1.4,75.75,152.1961623
0,1,0,0,1,3,0.6,0,3,40,0,4,1,23,40,0,1.4,18.25,154.5835065
0,1,0,0,1,3,0.6,51,3,40,0,4,1,23,40,0,1.4,18.25,154.6836932
0,1,0,0,1,3,0.6,0,3,40,0,4,250,23,100,0,1.4,53.91666667,150.8269276
0,1,0,0,1,3,0.6,51,3,40,0,4,250,23,100,0,1.4,53.83333333,150.8828401
0,1,0,0,1,3,0.6,0,3,40,0,4,250,23,1,0,1.4,53.5,150.0694128
0,1,0,0,1,3,0.6,51,3,40,0,4,250,23,1,0,1.4,53.33333333,150.2013824
0,1,0,0,1,25,0.6,0,3,40,0,4,250,23,40,0,1.4,49.66666667,152.6095
0,1,0,0,1,25,0.6,51,3,40,0,4,250,23,40,0,1.4,49.75,152.2716004
0,1,0,0,2,3,0.6,23,3,40,0,4,1000,23,40,0,1.4,51.4,151.3258503
0,1,0,0,0,3,0.6,23,3,40,0,4,1000,23,40,0,1.4,51.6,151.0680798
0,1,0,0,2,3,0.6,23,3,40,0,4,250,23,40,0,1.4,51.46666667,151.0577389
0,1,0,0,0,3,0.6,23,3,40,0,4,250,23,40,0,1.4,51.4,151.0068693
0,1,0,0,1,3,0.6,51,3,40,0,4,250,23,40,0,0,52.41666667,150.5467034
0,1,0,0,1,3,0.6,51,3,40,0,4,250,23,40,0,2,51.41666667,151.0454839
0,1,0,0,1,3,0.6,23,0,40,0,4,250,23,40,0,0,38.46666667,151.2459888
0,1,0,0,1,3,0.6,23,0,40,0,4,250,23,40,0,2,38.13333333,151.4617916
0,1,0,0,1,3,0.6,0,3,40,0,4,250,23,40,0,0,52.16666667,150.3782069
0,1,0,0,1,3,0.6,0,3,40,0,4,250,23,40,0,2,51.33333333,151.1084657
0,1,0,0,1,3,0.6,23,3,40,100,4,250,23,40,0,0,53.6,149.3688007
0,1,0,0,1,3,0.6,23,3,40,100,4,250,23,40,0,2,52.86666667,149.5556942
0,1,0,0,1,1,0.6,23,3,40,0,4,250,23,40,0,0,51.26666667,151.6192082
0,1,0,0,1,1,0.6,23,3,40,0,4,250,23,40,0,2,50.4,151.9383574
0,1,0,0,1,3,0.6,23,9,40,0,4,250,23,40,0,0,77.2,151.540229
0,1,0,0,1,3,0.6,23,9,40,0,4,250,23,40,0,2,75.73333333,152.2409037
0,1,0,0,1,3,0.6,23,3,40,-100,4,250,23,40,0,0,52.73333333,154.2579481
0,1,0,0,1,3,0.6,23,3,40,-100,4,250,23,40,0,2,51.93333333,154.9546685
0,0,0,1,0,3,0.6,23,3,40,0,4,250,23,40,0,2,14.33333333,152.2304545
0,0,0,1,2,3,0.6,23,3,40,0,4,250,23,40,0,2,14.2,152.8093763
0,0,0,1,0,3,0.6,23,3,40,0,4,250,23,40,0,0,14.46666667,152.6755744
0,0,0,1,2,3,0.6,23,3,40,0,4,250,23,40,0,0,14.53333333,152.676
0,0,0,1,1,3,1,23,3,40,0,4,250,23,100,0,1.4,15.13333333,154.1949029
0,0,0,1,1,3,0,23,3,40,0,4,250,23,100,0,1.4,13.33333333,150.9029268
0,0,0,1,1,3,1,23,3,40,0,4,250,23,1,0,1.4,15.06666667,154.1213228
0,0,0,1,1,3,0,23,3,40,0,4,250,23,1,0,1.4,13,149.916
0,0,0,1,1,25,1,23,3,40,0,4,250,23,40,0,1.4,14.66666667,155.1062222
0,0,0,1,1,25,0,23,3,40,0,4,250,23,40,0,1.4,11.93333333,152.9497598
0,0,0,1,1,1,1,23,3,40,0,4,250,23,40,0,1.4,14.53333333,155.4660404
0,0,0,1,1,1,0,23,3,40,0,4,250,23,40,0,1.4,12.2,152.6279659
0,0,0,1,1,3,1,23,3,40,0,4,250,23,40,0,1.4,14.86666667,154.0465314
0,0,0,1,1,3,0,23,3,40,0,4,250,23,40,0,1.4,12.46666667,151.1505398
0,0,0,1,1,3,1,23,3,40,0,4,1000,23,40,0,1.4,14.73333333,154.4525217
0,0,0,1,1,3,0,23,3,40,0,4,1000,23,40,0,1.4,12.6,151.1008772
0,0,0,1,1,3,1,23,3,40,0,4,1,23,40,0,1.4,7.2,155.7803953
0,0,0,1,1,3,0,23,3,40,0,4,1,23,40,0,1.4,6.2,155.3338421
0,1,0,0,1,3,0.6,23,3,40,0,4,1000,23,40,0,1.4,41.2,121.053794
0,1,0,0,1,3,0.6,23,3,40,0,4,1,23,40,0,1.4,14.53333333,123.7760325
0,1,0,0,1,3,0.6,23,3,40,0,4,1000,23,100,0,1.4,51.2,151.0459673
0,1,0,0,1,3,0.6,23,3,40,0,4,1000,23,1,0,1.4,52.66666667,151.0792453
0,1,0,0,1,3,0.6,23,3,40,0,4,250,23,100,0,1.4,54,150.7172547
0,1,0,0,1,3,0.6,23,3,40,0,4,250,23,1,0,1.4,53.33333333,150.1986335
0,1,0,0,1,3,0.6,23,3,40,0,4,1,23,100,0,1.4,18.2,155.1582468
0,1,0,0,1,3,0.6,23,3,40,0,4,1,23,1,0,1.4,18.26666667,154.8541104
0,1,0,0,1,25,0.6,23,3,40,0,4,1000,23,40,0,1.4,49.86666667,152.8009404
0,1,0,0,1,1,0.6,23,3,40,0,4,1000,23,40,0,1.4,50.46666667,151.9713502
0,1,0,0,1,25,0.6,23,3,40,0,4,250,23,40,0,1.4,49.93333333,152.4899258
0,1,0,0,1,1,0.6,23,3,40,0,4,250,23,40,0,1.4,50.53333333,152.1129902
0,0,0,1,1,3,0.6,23,3,250,100,4,250,23,40,0,1.4,19,145.507931
0,0,0,1,1,3,0.6,23,3,1,100,4,250,23,40,0,1.4,13.26666667,154.8115366
0,0,0,1,1,3,0.6,23,3,250,-100,4,250,23,40,0,1.4,18.73333333,149.6243376
0,0,0,1,1,3,0.6,23,3,1,-100,4,250,23,40,0,1.4,13.86666667,156.9664341
0,0,0,1,1,25,0.6,23,3,250,0,4,250,23,40,0,1.4,17.86666667,147.2193603
0,0,0,1,1,25,0.6,23,3,1,0,4,250,23,40,0,1.4,13.6,155.6837747
0,0,0,1,1,1,0.6,23,3,250,0,4,250,23,40,0,1.4,18.06666667,147.7885065
0,0,0,1,1,1,0.6,23,3,1,0,4,250,23,40,0,1.4,12.66666667,156.3871795
0,0,0,1,1,3,0.6,51,3,250,0,4,250,23,40,0,1.4,18.5,146.1179198
0,0,0,1,1,3,0.6,51,3,1,0,4,250,23,40,0,1.4,13.25,155.0050457
0,0,0,1,1,3,0.6,0,3,250,0,4,250,23,40,0,1.4,18.41666667,146.5601616
0,0,0,1,1,3,0.6,0,3,1,0,4,250,23,40,0,1.4,13.33333333,154.8207317
0,0,0,1,1,3,0.6,23,9,250,0,4,250,23,40,0,1.4,27.73333333,148.8584678
0,0,0,1,1,3,0.6,23,9,1,0,4,250,23,40,0,1.4,22.73333333,153.3878468
0,0,0,1,1,3,0.6,23,0,250,0,4,250,23,40,0,1.4,15.26666667,144.8666883
0,0,0,1,1,3,0.6,23,0,1,0,4,250,23,40,0,1.4,9.866666667,155.8838065
0,0,0,1,2,3,0.6,23,3,1,0,4,250,23,40,0,1.4,13.2,154.5005
0,0,0,1,2,3,0.6,23,3,250,0,4,250,23,40,0,1.4,18.46666667,146.1592419
0,0,0,1,0,3,0.6,23,3,1,0,4,250,23,40,0,1.4,13.13333333,155.1551463
0,0,0,1,0,3,0.6,23,3,250,0,4,250,23,40,0,1.4,18.66666667,145.0147368
0,0,0,1,1,3,0.6,23,3,1,0,4,250,23,40,0,2,13.26666667,154.7116098
0,0,0,1,1,3,0.6,23,3,250,0,4,250,23,40,0,2,18.6,146.2747118
0,0,0,1,1,3,0.6,23,3,1,0,4,250,23,40,0,0,13.53333333,154.7428455
0,0,0,1,1,3,0.6,23,3,250,0,4,250,23,40,0,0,18.73333333,145.9815547
0,1,0,0,1,3,0.6,23,3,40,0,4,250,23,40,0,1.4,41.2,120.7809835
0,0,0,1,1,3,1,23,3,1,0,4,250,23,40,0,1.4,14.73333333,154.3301449
0,0,0,1,1,3,1,23,3,250,0,4,250,23,40,0,1.4,14.86666667,154.4292464
0,0,0,1,1,3,0,23,3,1,0,4,250,23,40,0,1.4,10.6,154.3330693
0,0,0,1,1,3,0,23,3,250,0,4,250,23,40,0,1.4,17,142.9607692
0,0,0,1,1,3,1,23,0,40,0,4,250,23,40,0,1.4,10.8,155.1289305
0,0,0,1,1,3,0,23,0,40,0,4,250,23,40,0,1.4,9.8,151.4865376
0,0,0,1,1,3,1,23,9,40,0,4,250,23,40,0,1.4,25.66666667,152.9817063
0,0,0,1,1,3,0,23,9,40,0,4,250,23,40,0,1.4,20.2,149.7439239
0,0,0,1,1,3,1,23,3,40,-100,4,250,23,40,0,1.4,15.33333333,156.6868085
0,0,0,1,1,3,0,23,3,40,-100,4,250,23,40,0,1.4,12.4,156.5416599
0,0,0,1,1,3,1,23,3,40,100,4,250,23,40,0,1.4,15,153.2852266
0,0,0,1,1,3,0,23,3,40,100,4,250,23,40,0,1.4,12.93333333,149.1065
0,0,0,1,1,3,1,23,3,40,0,4,250,23,40,0,0,14.93333333,154.4437101
0,0,0,1,1,3,0,23,3,40,0,4,250,23,40,0,0,12.93333333,150.4673974
0,0,0,1,1,3,1,23,3,40,0,4,250,23,40,0,2,14.73333333,154.4703478
0,0,0,1,1,3,0,23,3,40,0,4,250,23,40,0,2,12.46666667,150.7599055
0,0,0,1,1,3,1,0,3,40,0,4,250,23,40,0,1.4,14.75,154.2584058
0,0,0,1,1,3,0,0,3,40,0,4,250,23,40,0,1.4,12.58333333,151.164946
0,0,0,1,1,3,1,51,3,40,0,4,250,23,40,0,1.4,14.83333333,154.1263768
0,0,0,1,1,3,0,51,3,40,0,4,250,23,40,0,1.4,12.58333333,150.9417173
0,0,0,1,1,3,0.6,23,3,1,0,4,250,23,40,0,1.4,13.33333333,154.4726829
0,0,0,1,1,3,0.6,23,3,250,0,4,250,23,40,0,1.4,18.6,146.0095677
0,0,0,1,0,3,0,23,3,40,0,4,250,23,40,0,1.4,12.33333333,150.9710526
0,0,0,1,0,3,1,23,3,40,0,4,250,23,40,0,1.4,14.93333333,154.3461932
0,0,0,1,2,3,0,23,3,40,0,4,250,23,40,0,1.4,12.46666667,151.1683401
0,0,0,1,2,3,1,23,3,40,0,4,250,23,40,0,1.4,14.73333333,154.3696135
0,0,0,1,1,3,0.6,23,3,1,0,4,250,23,1,0,1.4,13.53333333,155.2857491
0,0,0,1,1,3,0.6,23,3,250,0,4,250,23,1,0,1.4,18.66666667,145.9214035
0,0,0,1,1,3,0.6,23,3,1,0,4,250,23,100,0,1.4,13.66666667,155.1738095
0,0,0,1,1,3,0.6,23,3,250,0,4,250,23,100,0,1.4,19.13333333,146.0984804
0,0,0,1,1,3,0.6,23,3,1,0,4,1,23,40,0,1.4,6.733333333,154.9288745
0,0,0,1,1,3,0.6,23,3,250,0,4,1,23,40,0,1.4,6.8,155.452381
0,0,0,1,1,3,0.6,23,3,1,0,4,1000,23,40,0,1.4,13.26666667,155.0000976
0,0,0,1,1,3,0.6,23,3,250,0,4,1000,23,40,0,1.4,16.73333333,151.2637255
0,0,0,1,0,3,0.6,51,3,40,0,4,250,23,40,0,1.4,14.33333333,153.0994318
0,0,0,1,2,3,0.6,51,3,40,0,4,250,23,40,0,1.4,14.33333333,153.5284091
0,0,0,1,0,3,0.6,0,3,40,0,4,250,23,40,0,1.4,14.33333333,151.5329545
0,0,0,1,2,3,0.6,0,3,40,0,4,250,23,40,0,1.4,14.16666667,152.7488372
