$x1,$x2,$x3,$x4,$x5,$x6,$x7,$x8,$x9,$x10,$x11,$x12,$x13,$x14,$x15,$x16,$x17,$x18,$x19,$x20,$x21,$x22,$x23,$x24,$x25,$x26,$x27,$x28,$x29,$x30,$x31,$x32,$x33,$x34,$x35,$x36,$x37,$x38,$x39,$x40,$x41,$x42,$x43,$x44,$x45,$x46,$x47,$x48,$x49,$x50,<$f2,<$f3
1,1,3,-1.0,3.0,-1.0,3.0,2.0,3.0,3.0,2.0,1.0,-1.0,3.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,2.0,3.0,2.0,2.0,1.0,3.0,0.0,3.0,0.0,3.0,1.0,0.0,548.0,99546.0
-1,0,3,2.0,0.0,3.0,-1.0,-1.0,0.0,0.0,1.0,1.0,2.0,2.0,-1.0,3.0,1.0,3.0,2.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,2.0,1.0,0.0,0.0,3.0,-1.0,-1.0,2.0,1.0,-1.0,-1.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,519.0,99571.0
1,3,-1,1.0,0.0,0.0,1.0,-1.0,0.0,2.0,0.0,0.0,0.0,-1.0,1.0,-1.0,-1.0,3.0,3.0,-1.0,0.0,0.0,-1.0,2.0,1.0,3.0,-1.0,2.0,-1.0,2.0,2.0,1.0,3.0,-1.0,3.0,1.0,-1.0,2.0,1.0,3.0,3.0,1.0,-1.0,-1.0,0.0,1.0,2.0,2.0,3.0,0.0,532.0,99553.0
3,0,2,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,3.0,0.0,1.0,0.0,2.0,3.0,2.0,-1.0,3.0,0.0,2.0,-1.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,-1.0,3.0,2.0,2.0,1.0,1.0,-1.0,0.0,-1.0,2.0,-1.0,3.0,1.0,-1.0,3.0,2.0,551.0,99547.0
-1,-1,-1,0.0,-1.0,3.0,3.0,2.0,1.0,0.0,2.0,1.0,3.0,-1.0,3.0,1.0,1.0,1.0,0.0,2.0,0.0,-1.0,2.0,0.0,1.0,3.0,-1.0,1.0,3.0,2.0,-1.0,0.0,-1.0,-1.0,0.0,2.0,1.0,2.0,2.0,1.0,0.0,2.0,3.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,564.0,99491.0
3,-1,-1,3.0,2.0,-1.0,1.0,1.0,-1.0,0.0,3.0,1.0,-1.0,0.0,2.0,-1.0,-1.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,-1.0,1.0,0.0,3.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,0.0,2.0,-1.0,3.0,3.0,0.0,2.0,3.0,0.0,3.0,2.0,2.0,-1.0,2.0,0.0,569.0,99501.0
0,1,-1,2.0,2.0,0.0,1.0,0.0,-1.0,3.0,-1.0,-1.0,3.0,0.0,2.0,0.0,-1.0,3.0,1.0,1.0,0.0,1.0,3.0,3.0,1.0,1.0,2.0,3.0,-1.0,2.0,2.0,3.0,-1.0,0.0,2.0,1.0,0.0,3.0,-1.0,0.0,0.0,-1.0,2.0,1.0,0.0,1.0,-1.0,2.0,2.0,3.0,576.0,99501.0
0,1,2,-1.0,3.0,3.0,-1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,0.0,2.0,3.0,1.0,1.0,3.0,-1.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0,1.0,3.0,2.0,-1.0,-1.0,-1.0,538.0,99551.0
3,3,1,0.0,-1.0,1.0,0.0,-1.0,3.0,1.0,2.0,0.0,1.0,-1.0,-1.0,0.0,2.0,0.0,0.0,2.0,3.0,3.0,0.0,3.0,2.0,2.0,-1.0,1.0,-1.0,1.0,3.0,2.0,0.0,1.0,1.0,0.0,3.0,2.0,2.0,0.0,2.0,3.0,0.0,1.0,2.0,-1.0,3.0,-1.0,-1.0,-1.0,593.0,99488.0
-1,0,2,1.0,2.0,2.0,-1.0,-1.0,0.0,-1.0,2.0,2.0,0.0,0.0,2.0,-1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,3.0,-1.0,-1.0,2.0,0.0,0.0,1.0,0.0,-1.0,1.0,-1.0,-1.0,2.0,1.0,2.0,-1.0,-1.0,0.0,2.0,0.0,-1.0,3.0,3.0,-1.0,3.0,525.0,99561.0
-1,2,3,3.0,0.0,3.0,0.0,2.0,0.0,2.0,1.0,2.0,3.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,1.0,-1.0,1.0,0.0,-1.0,2.0,-1.0,0.0,-1.0,3.0,3.0,2.0,-1.0,0.0,-1.0,1.0,-1.0,1.0,2.0,0.0,2.0,1.0,3.0,1.0,3.0,-1.0,3.0,2.0,-1.0,-1.0,561.0,99514.0
0,3,2,3.0,3.0,0.0,-1.0,1.0,3.0,0.0,-1.0,2.0,2.0,0.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,2.0,2.0,2.0,2.0,1.0,0.0,-1.0,0.0,-1.0,3.0,-1.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,-1.0,3.0,-1.0,2.0,558.0,99496.0
2,0,1,1.0,2.0,-1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,-1.0,-1.0,-1.0,-1.0,2.0,0.0,-1.0,-1.0,1.0,3.0,3.0,0.0,2.0,1.0,0.0,1.0,-1.0,-1.0,2.0,2.0,3.0,2.0,1.0,0.0,2.0,3.0,2.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,2.0,1.0,537.0,99547.0
2,3,3,0.0,-1.0,0.0,-1.0,2.0,0.0,0.0,2.0,0.0,3.0,3.0,3.0,2.0,-1.0,0.0,1.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,-1.0,2.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,2.0,2.0,2.0,1.0,1.0,3.0,-1.0,3.0,1.0,2.0,2.0,0.0,1.0,1.0,-1.0,-1.0,583.0,99508.0
2,-1,0,2.0,1.0,-1.0,3.0,3.0,2.0,0.0,2.0,0.0,-1.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,-1.0,1.0,1.0,3.0,2.0,1.0,0.0,3.0,1.0,3.0,2.0,1.0,-1.0,2.0,1.0,-1.0,0.0,3.0,1.0,3.0,3.0,1.0,-1.0,-1.0,1.0,-1.0,0.0,-1.0,0.0,575.0,99492.0
2,0,0,-1.0,3.0,0.0,3.0,2.0,2.0,1.0,1.0,3.0,-1.0,2.0,1.0,3.0,1.0,0.0,3.0,2.0,2.0,1.0,-1.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,3.0,-1.0,-1.0,0.0,2.0,1.0,3.0,2.0,-1.0,1.0,2.0,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,3.0,-1.0,600.0,99496.0
-1,0,3,-1.0,2.0,3.0,-1.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,-1.0,2.0,3.0,1.0,0.0,1.0,-1.0,3.0,2.0,3.0,1.0,3.0,2.0,-1.0,3.0,-1.0,0.0,0.0,0.0,3.0,-1.0,-1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,-1.0,-1.0,1.0,3.0,0.0,3.0,0.0,572.0,99529.0
-1,2,2,-1.0,-1.0,1.0,1.0,0.0,2.0,3.0,2.0,2.0,2.0,-1.0,3.0,0.0,3.0,-1.0,3.0,3.0,0.0,2.0,0.0,2.0,-1.0,-1.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,-1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,0.0,0.0,-1.0,1.0,0.0,3.0,-1.0,580.0,99495.0
0,-1,-1,2.0,-1.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,-1.0,3.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,2.0,2.0,3.0,1.0,1.0,2.0,0.0,-1.0,2.0,1.0,3.0,-1.0,3.0,0.0,2.0,1.0,3.0,3.0,2.0,-1.0,1.0,-1.0,2.0,548.0,99511.0
1,2,0,3.0,2.0,3.0,-1.0,3.0,0.0,1.0,3.0,1.0,0.0,-1.0,3.0,-1.0,2.0,0.0,-1.0,1.0,2.0,-1.0,0.0,2.0,3.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,3.0,0.0,-1.0,1.0,3.0,-1.0,0.0,0.0,-1.0,1.0,1.0,-1.0,2.0,2.0,2.0,2.0,1.0,3.0,579.0,99512.0
1,-1,-1,2.0,0.0,2.0,0.0,-1.0,2.0,0.0,3.0,1.0,3.0,2.0,2.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,2.0,1.0,-1.0,2.0,0.0,3.0,2.0,1.0,2.0,-1.0,3.0,3.0,0.0,-1.0,3.0,1.0,0.0,-1.0,1.0,1.0,-1.0,1.0,3.0,-1.0,1.0,2.0,2.0,0.0,598.0,99505.0
-1,0,-1,0.0,2.0,2.0,-1.0,0.0,0.0,2.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,2.0,1.0,-1.0,0.0,2.0,1.0,1.0,3.0,0.0,1.0,3.0,2.0,1.0,-1.0,2.0,3.0,3.0,2.0,0.0,0.0,3.0,2.0,-1.0,3.0,3.0,3.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,560.0,99493.0
1,0,2,1.0,-1.0,1.0,-1.0,3.0,1.0,3.0,1.0,1.0,1.0,-1.0,2.0,3.0,2.0,3.0,3.0,1.0,-1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,-1.0,0.0,0.0,-1.0,2.0,0.0,-1.0,3.0,3.0,-1.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,3.0,610.0,99471.0
-1,-1,-1,3.0,-1.0,3.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,3.0,-1.0,2.0,2.0,0.0,0.0,2.0,3.0,3.0,1.0,0.0,3.0,3.0,0.0,1.0,-1.0,1.0,3.0,-1.0,2.0,2.0,1.0,584.0,99481.0
1,1,3,0.0,1.0,2.0,1.0,-1.0,-1.0,2.0,0.0,2.0,0.0,-1.0,3.0,-1.0,-1.0,3.0,1.0,3.0,-1.0,3.0,2.0,-1.0,3.0,3.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,2.0,3.0,-1.0,3.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,580.0,99509.0
2,0,-1,1.0,0.0,0.0,-1.0,2.0,0.0,1.0,-1.0,-1.0,1.0,3.0,2.0,-1.0,1.0,0.0,-1.0,2.0,-1.0,0.0,1.0,-1.0,-1.0,1.0,-1.0,3.0,3.0,-1.0,-1.0,0.0,2.0,2.0,-1.0,-1.0,2.0,0.0,2.0,0.0,3.0,0.0,-1.0,3.0,1.0,-1.0,1.0,-1.0,-1.0,0.0,456.0,99607.0
2,3,-1,3.0,1.0,1.0,0.0,-1.0,3.0,1.0,-1.0,-1.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,0.0,-1.0,2.0,2.0,2.0,2.0,1.0,-1.0,1.0,3.0,-1.0,0.0,2.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,-1.0,2.0,-1.0,3.0,0.0,0.0,3.0,1.0,2.0,-1.0,582.0,99509.0
1,2,3,2.0,-1.0,3.0,-1.0,2.0,2.0,1.0,1.0,-1.0,3.0,0.0,0.0,3.0,-1.0,0.0,-1.0,2.0,1.0,0.0,-1.0,1.0,-1.0,0.0,3.0,-1.0,1.0,-1.0,0.0,-1.0,2.0,1.0,0.0,3.0,1.0,-1.0,1.0,-1.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,-1.0,3.0,534.0,99552.0
-1,3,3,3.0,1.0,1.0,3.0,1.0,3.0,-1.0,1.0,0.0,1.0,2.0,2.0,-1.0,-1.0,1.0,1.0,0.0,1.0,-1.0,3.0,0.0,3.0,0.0,-1.0,0.0,2.0,-1.0,3.0,2.0,1.0,2.0,3.0,-1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,3.0,-1.0,0.0,-1.0,566.0,99504.0
-1,0,-1,0.0,-1.0,1.0,-1.0,0.0,1.0,1.0,2.0,-1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,3.0,2.0,2.0,-1.0,3.0,-1.0,0.0,-1.0,2.0,-1.0,2.0,1.0,-1.0,-1.0,3.0,1.0,2.0,0.0,3.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,487.0,99607.0
1,1,0,3.0,-1.0,2.0,0.0,0.0,1.0,-1.0,1.0,-1.0,2.0,-1.0,-1.0,3.0,2.0,-1.0,0.0,2.0,3.0,2.0,3.0,3.0,0.0,2.0,2.0,-1.0,1.0,1.0,0.0,0.0,3.0,1.0,-1.0,0.0,3.0,0.0,-1.0,1.0,-1.0,1.0,0.0,2.0,2.0,3.0,1.0,1.0,3.0,-1.0,571.0,99520.0
3,-1,-1,2.0,3.0,3.0,1.0,2.0,1.0,0.0,1.0,-1.0,2.0,-1.0,-1.0,0.0,1.0,-1.0,3.0,-1.0,2.0,0.0,0.0,1.0,-1.0,-1.0,0.0,2.0,2.0,1.0,-1.0,2.0,0.0,1.0,2.0,2.0,3.0,3.0,0.0,2.0,1.0,3.0,1.0,0.0,-1.0,3.0,0.0,2.0,0.0,1.0,552.0,99504.0
2,3,0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,-1.0,2.0,1.0,-1.0,0.0,1.0,-1.0,1.0,-1.0,2.0,1.0,3.0,0.0,-1.0,-1.0,2.0,2.0,2.0,0.0,1.0,1.0,-1.0,0.0,1.0,2.0,2.0,3.0,-1.0,0.0,3.0,0.0,3.0,0.0,-1.0,0.0,1.0,-1.0,3.0,0.0,1.0,565.0,99523.0
2,2,2,3.0,2.0,0.0,-1.0,2.0,1.0,0.0,2.0,1.0,1.0,-1.0,0.0,0.0,2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,1.0,3.0,2.0,1.0,0.0,1.0,-1.0,0.0,-1.0,2.0,-1.0,3.0,-1.0,0.0,2.0,1.0,2.0,3.0,-1.0,1.0,-1.0,-1.0,0.0,1.0,1.0,525.0,99577.0
0,-1,2,1.0,2.0,3.0,2.0,0.0,0.0,-1.0,1.0,0.0,-1.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,0.0,0.0,2.0,-1.0,-1.0,0.0,-1.0,3.0,-1.0,3.0,-1.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,-1.0,1.0,3.0,3.0,2.0,2.0,-1.0,2.0,0.0,2.0,2.0,1.0,571.0,99493.0
1,3,-1,2.0,3.0,0.0,0.0,-1.0,1.0,1.0,3.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,-1.0,1.0,1.0,3.0,1.0,0.0,3.0,2.0,2.0,-1.0,0.0,-1.0,0.0,2.0,1.0,3.0,-1.0,3.0,-1.0,0.0,2.0,-1.0,0.0,1.0,3.0,0.0,2.0,-1.0,2.0,0.0,2.0,2.0,596.0,99501.0
-1,3,2,1.0,-1.0,1.0,3.0,0.0,3.0,0.0,2.0,2.0,2.0,2.0,0.0,-1.0,-1.0,-1.0,3.0,0.0,1.0,1.0,3.0,2.0,3.0,0.0,2.0,2.0,1.0,0.0,3.0,1.0,-1.0,0.0,-1.0,1.0,1.0,0.0,1.0,3.0,0.0,-1.0,3.0,0.0,1.0,3.0,-1.0,3.0,1.0,2.0,583.0,99493.0
-1,-1,2,1.0,2.0,0.0,-1.0,1.0,2.0,0.0,2.0,-1.0,-1.0,-1.0,1.0,3.0,0.0,2.0,-1.0,3.0,3.0,0.0,0.0,3.0,-1.0,3.0,2.0,0.0,0.0,1.0,-1.0,-1.0,2.0,0.0,1.0,-1.0,0.0,3.0,-1.0,1.0,-1.0,1.0,2.0,2.0,-1.0,1.0,2.0,2.0,0.0,0.0,510.0,99553.0
1,0,2,3.0,-1.0,0.0,2.0,0.0,3.0,-1.0,3.0,2.0,2.0,3.0,0.0,2.0,1.0,-1.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,0.0,2.0,-1.0,3.0,-1.0,0.0,0.0,-1.0,0.0,1.0,2.0,-1.0,1.0,3.0,1.0,0.0,-1.0,2.0,0.0,0.0,2.0,3.0,1.0,-1.0,0.0,592.0,99482.0
-1,3,3,1.0,0.0,-1.0,0.0,1.0,3.0,2.0,-1.0,3.0,3.0,3.0,1.0,-1.0,-1.0,0.0,0.0,2.0,1.0,-1.0,1.0,0.0,3.0,-1.0,2.0,2.0,0.0,-1.0,2.0,0.0,-1.0,2.0,3.0,-1.0,2.0,0.0,1.0,1.0,0.0,1.0,3.0,-1.0,1.0,-1.0,1.0,2.0,2.0,-1.0,532.0,99536.0
0,-1,3,-1.0,3.0,0.0,2.0,2.0,1.0,2.0,2.0,-1.0,-1.0,1.0,2.0,3.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,-1.0,1.0,0.0,-1.0,0.0,1.0,3.0,1.0,1.0,1.0,-1.0,2.0,3.0,-1.0,-1.0,2.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,-1.0,-1.0,0.0,3.0,563.0,99513.0
1,-1,2,2.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,-1.0,1.0,2.0,3.0,3.0,-1.0,0.0,-1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,2.0,0.0,3.0,2.0,-1.0,1.0,2.0,0.0,1.0,3.0,3.0,2.0,-1.0,1.0,-1.0,3.0,1.0,2.0,608.0,99470.0
2,3,1,3.0,2.0,-1.0,2.0,0.0,1.0,1.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,3.0,-1.0,1.0,2.0,2.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,1.0,-1.0,1.0,3.0,3.0,0.0,3.0,-1.0,-1.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,606.0,99489.0
-1,0,2,2.0,-1.0,-1.0,1.0,3.0,0.0,3.0,2.0,2.0,2.0,0.0,1.0,3.0,1.0,3.0,3.0,1.0,-1.0,2.0,-1.0,0.0,-1.0,0.0,2.0,2.0,-1.0,0.0,-1.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,-1.0,1.0,3.0,-1.0,2.0,3.0,2.0,0.0,3.0,1.0,1.0,585.0,99501.0
1,-1,1,1.0,-1.0,-1.0,-1.0,2.0,2.0,-1.0,0.0,2.0,3.0,1.0,2.0,2.0,-1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,3.0,-1.0,3.0,-1.0,-1.0,0.0,1.0,2.0,3.0,-1.0,-1.0,1.0,0.0,-1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,-1.0,2.0,-1.0,2.0,514.0,99554.0
-1,-1,0,3.0,1.0,2.0,0.0,1.0,3.0,-1.0,0.0,2.0,2.0,-1.0,2.0,0.0,3.0,2.0,0.0,3.0,-1.0,1.0,0.0,-1.0,-1.0,3.0,-1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,0.0,-1.0,1.0,-1.0,2.0,0.0,3.0,1.0,-1.0,2.0,1.0,3.0,0.0,2.0,1.0,548.0,99505.0
1,-1,0,3.0,-1.0,3.0,3.0,2.0,1.0,0.0,-1.0,1.0,-1.0,3.0,0.0,3.0,2.0,1.0,3.0,0.0,-1.0,1.0,-1.0,3.0,1.0,1.0,3.0,3.0,0.0,0.0,2.0,1.0,0.0,-1.0,2.0,1.0,2.0,0.0,2.0,-1.0,2.0,-1.0,1.0,3.0,2.0,2.0,-1.0,2.0,0.0,2.0,584.0,99495.0
3,-1,-1,3.0,2.0,1.0,-1.0,0.0,3.0,2.0,1.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,0.0,3.0,2.0,2.0,2.0,-1.0,-1.0,1.0,-1.0,-1.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,2.0,-1.0,0.0,1.0,1.0,1.0,-1.0,2.0,0.0,1.0,3.0,2.0,1.0,0.0,559.0,99540.0
-1,2,3,3.0,2.0,1.0,0.0,0.0,2.0,3.0,3.0,3.0,0.0,-1.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,-1.0,1.0,-1.0,2.0,1.0,3.0,-1.0,2.0,3.0,0.0,-1.0,1.0,1.0,-1.0,2.0,2.0,2.0,2.0,1.0,-1.0,3.0,2.0,1.0,-1.0,0.0,-1.0,-1.0,2.0,573.0,99515.0
-1,1,3,3.0,0.0,3.0,3.0,-1.0,0.0,3.0,0.0,0.0,-1.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,-1.0,-1.0,3.0,-1.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,-1.0,2.0,2.0,-1.0,1.0,1.0,-1.0,2.0,1.0,-1.0,-1.0,3.0,1.0,0.0,-1.0,2.0,0.0,556.0,99534.0
2,3,3,0.0,-1.0,2.0,-1.0,1.0,1.0,2.0,1.0,2.0,-1.0,3.0,0.0,1.0,3.0,3.0,1.0,-1.0,0.0,0.0,-1.0,2.0,2.0,0.0,-1.0,-1.0,3.0,3.0,0.0,3.0,-1.0,3.0,2.0,-1.0,0.0,-1.0,1.0,2.0,2.0,-1.0,3.0,1.0,-1.0,1.0,0.0,1.0,1.0,1.0,562.0,99534.0
0,-1,1,0.0,1.0,0.0,3.0,1.0,2.0,3.0,1.0,3.0,1.0,2.0,0.0,1.0,3.0,2.0,3.0,-1.0,3.0,1.0,1.0,-1.0,3.0,2.0,0.0,3.0,3.0,1.0,0.0,2.0,-1.0,1.0,2.0,0.0,2.0,-1.0,2.0,2.0,-1.0,-1.0,3.0,2.0,2.0,-1.0,-1.0,0.0,0.0,1.0,594.0,99513.0
-1,3,3,1.0,0.0,1.0,3.0,3.0,0.0,1.0,-1.0,0.0,-1.0,-1.0,-1.0,2.0,-1.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,-1.0,2.0,2.0,-1.0,-1.0,2.0,3.0,0.0,1.0,2.0,1.0,0.0,2.0,2.0,-1.0,0.0,3.0,1.0,3.0,2.0,1.0,3.0,575.0,99509.0
